message,post_fb_url,page_name,username,page_id,page_cateogry,topadmin_country,page_description,page_created,page_likes,page_followers,created_date,created_date_edt,created_time,type,total_interaction,nb_likes,nb_comments,nb_shares,nb_love,nb_wow,nb_haha,nb_sad,nb_angry,nb_care,video_share_status,video_owner,video_post_view,video_total_view,video_total_view_crossposts,video_length,post_fb_url,,,final_link,image_text,link_text,,sponsor_id,sponsor_name,sponsor_category,Results
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks to Wellesley Dental Studio for partnering with Natick Report.,https://www.facebook.com/355046068394084/posts/760478964517457,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-02 17:16:34 EDT,2020-10-02,17:16:34,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/760478964517457,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fwellesleydentalstudio%2Fphotos%2Fa.2250339145244671%2F2797091603902753%2F%3Ftype%3D3,,Wellesley Dental Studio,,,,,1
LINX Camps is gearing up for Summer 2021.,https://www.facebook.com/355046068394084/posts/770578710174149,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-16 16:00:29 EDT,2020-10-16,16:00:29,Photo,1,0,0,0,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/770578710174149,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flinxcamps%2Fphotos%2Fa.1365131246996678%2F1776208729222259%2F%3Ftype%3D3,,LINX Camps,,,,,
Local creatives bring Art in the Park event to South Natick https://www.natickreport.com/2022/06/local-creatives-bring-art-in-the-park-event-to-south-natick/,https://www.facebook.com/355046068394084/posts/1138558033376213,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,883.0,1028.0,2022-06-14 19:47:01 EDT,2022-06-14,19:47:01,Photo,8,8,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/1138558033376213,,,,,,,,,,
"Natick Business Buzz, sponsored by LINX Camps https://www.natickreport.com/2020/10/natick-business-buzz-sponsored-by-linx-51m-in-grants-at-stake-take-a-trip-to-bountiful-uni-t-is-at-one-with-cultural-district-eastern-insurance-grows-natick-mall-will-hold-your-spot/",https://www.facebook.com/355046068394084/posts/776144446284242,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-23 15:49:15 EDT,2020-10-23,15:49:15,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/776144446284242,,,,,Natick Business Buzz (sponsored by LINX): $51M in grants at stake; take a trip to Bountiful; Uni-T is at one with Cultural District; Eastern Insurance grows; Natick Mall will hold your spot - Natick Report,,,,,
https://www.metrowestdailynews.com/news/20201019/natick-town-meeting-to-take-up-resolution-to-restrict-plastic-straws-in-restaurants:=:https://www.metrowestdailynews.com/story/bulletin-tab/2020/10/19/natick-town-meeting-to-take-up-resolution-to-restrict-plastic-straws-in-restaurants/114687064/,https://www.facebook.com/355046068394084/posts/772871873278166,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-19 12:29:46 EDT,2020-10-19,12:29:46,Link,7,7,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/772871873278166,,,https://www.metrowestdailynews.com/story/bulletin-tab/2020/10/19/natick-town-meeting-to-take-up-resolution-to-restrict-plastic-straws-in-restaurants/114687064/,,Natick Town Meeting to take up resolution to restrict plastic straws in restaurants,,,,,
Oldtown Calendar Show goes online https://www.natickreport.com/2020/10/oldtown-calendar-show-goes-online/,https://www.facebook.com/355046068394084/posts/775242469707773,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-22 14:03:49 EDT,2020-10-22,14:03:49,Photo,3,3,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/775242469707773,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FNatickReport%2Fphotos%2Fa.645908199307868%2F775242433041110%2F%3Ftype%3D3,,,,,,,
Natick Select Board interviews applicants for Equity Task Force. Decisions will be revealed Oct. 14 https://videoplayer.telvue.com/player/994DtmGEsi0VDYK3jJI2BJ72GfgNIpU2/media/592173?autostart=false&showtabssearch=true&fullscreen=false&jwsource=cl,https://www.facebook.com/355046068394084/posts/763526750879345,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-06 20:32:41 EDT,2020-10-06,20:32:41,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/763526750879345,,,,,"Natick Select Board Meeting October 5, 2020",,,,,
"There’ s Halloween fun to be had, Natick https://www.natickreport.com/2020/10/theres-halloween-fun-to-be-had-natick/",https://www.facebook.com/355046068394084/posts/772287556669931,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-18 18:01:27 EDT,2020-10-18,18:01:27,Photo,4,3,0,1,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/772287556669931,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FNatickReport%2Fphotos%2Fa.645908199307868%2F772287236669963%2F%3Ftype%3D3,,,,,,,
,https://www.facebook.com/355046068394084/posts/762034207695266,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-04 18:30:50 EDT,2020-10-04,18:30:50,Photo,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/762034207695266,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FFoNTrails%2Fphotos%2Fa.1733297233555640%2F2726210774264276%2F%3Ftype%3D3,,Friends of Natick Trails,,,,,
,https://www.facebook.com/355046068394084/posts/770494370182583,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-16 13:24:34 EDT,2020-10-16,13:24:34,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/770494370182583,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FWellesleyTrailsCommittee%2Fphotos%2Fa.617684278268407%2F3338248882878586%2F%3Ftype%3D3,,Wellesley Trails Committee,,,,,
Our opening night visit to #Natick's newest restaurant: 7 South Bottle + Kitchen https://www.natickreport.com/2022/06/our-opening-night-visit-to-naticks-newest-restaurant-7-south-bottle-kitchen/ Natick Center Cultural District 7 South Bottle + Kitchen,https://www.facebook.com/355046068394084/posts/1143667672865249,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,886.0,1035.0,2022-06-22 16:33:10 EDT,2022-06-22,16:33:10,Photo,12,8,1,2,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/1143667672865249,,,,,Photos from Natick Report's post,,,,,
Natick Business Buzz (sponsored by LINX): Economic development meeting on tap; Cycling studio closes; laundromat shuttered https://www.natickreport.com/2020/10/natick-business-buzz-sponsored-by-linx-economic-development-meeting-on-tap-cycle-natick-closes-laundromat-shuttered/ LINX - Premier Classes and Camps,https://www.facebook.com/355046068394084/posts/763984064166947,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-07 12:26:06 EDT,2020-10-07,12:26:06,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/763984064166947,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FNatickReport%2Fphotos%2Fa.645908199307868%2F763983660833654%2F%3Ftype%3D3,,Photos from Natick Report's post,,,,,
Sad news for us BU grads https://www.boston.com/sports/sports-news/2020/10/29/former-boston-university-hockey-player-travis-roy-died-obituary,https://www.facebook.com/355046068394084/posts/780954245803262,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-29 18:37:08 EDT,2020-10-29,18:37:08,Link,7,0,0,0,0,0,0,7,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/780954245803262,,,,,"Former Boston University hockey player, quadriplegic inspiration, Travis Roy has died",,,,,
,https://www.facebook.com/355046068394084/posts/772275406671146,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-18 17:36:04 EDT,2020-10-18,17:36:04,Photo,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/772275406671146,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FSwellesleyReport%2Fphotos%2Fa.350180111687980%2F3486659994706627%2F%3Ftype%3D3,,"The Swellesley Report (Wellesley, Mass.)",,,,,
Square Mfg bringing Detroit-style pizza to Natick https://www.natickreport.com/2020/10/square-mfg-bringing-detroit-style-pizza-to-natick/,https://www.facebook.com/355046068394084/posts/768130273752326,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-13 14:40:50 EDT,2020-10-13,14:40:50,Photo,21,5,13,2,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/768130273752326,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FNatickReport%2Fphotos%2Fa.645908199307868%2F768130237085663%2F%3Ftype%3D3,,,,,,,
Natick’s Spark Kindness to welcome author LeDerick Horne https://www.natickreport.com/2020/10/naticks-spark-kindness-to-welcome-author-lederick-horne/,https://www.facebook.com/355046068394084/posts/778282802737073,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-26 11:06:16 EDT,2020-10-26,11:06:16,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/778282802737073,,,,,Natick's Spark Kindness to welcome author LeDerick Horne - Natick Report,,,,,
"Thanks to Wellesley Dental Studio for their Natick Report support. As they say, experience matters.",https://www.facebook.com/355046068394084/posts/764641160767904,Natick Report,NatickReport,355046068394084,MEDIA_NEWS_COMPANY,US,"More than you really want to know about Natick, Mass.  News, school, arts, sports, and more.",2018-11-26 18:40:52,,,2020-10-08 12:02:44 EDT,2020-10-08,12:02:44,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/355046068394084/posts/764641160767904,,,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fwellesleydentalstudio%2Fphotos%2Fa.2250339145244671%2F2817034451908468%2F%3Ftype%3D3,,Wellesley Dental Studio,,,,,
