,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
54530,100041345329617,Lojas Diário de Notícias Madeira,LojasDN,https://www.facebook.com/273443063127112,Mais Madeira do que nunca...,MEDIA_NEWS_COMPANY,0,2017-05-15 15:36:44,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/341205082_784419692764542_2650507354886768196_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=In3i2gweUewAX-1yqSA&_nc_ht=scontent-sea1-1.xx&oh=00_AfBBc-_eRkL7E6epkfp5pKi71vH7bYVhETsVzd2ECKDnBw&oe=65EA4038,2381,PT,pt
6093,100041383156404,O Breves Jornal /   breves tv,obrevesjornal,https://www.facebook.com/1508800252744386, Jornal “O Breves”–“ Breves TV Online” - Imprensa e web tv que tem como principal objetivo,MEDIA_NEWS_COMPANY,0,2011-10-24 17:38:38,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/332301639_666153418608496_8987170515624607890_n.jpg?stp=c0.6.50.50a_cp0_dst-jpg_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=a27e22&_nc_ohc=jBFNPU6ovrsAX96QKq4&_nc_ht=scontent-sea1-1.xx&oh=00_AfDTfriHY7B1euPg0zlTpyb7aaCcfIRiJjnAqFSYvQPjBg&oe=65EB710F,13854,PT,und
125026,100041476643493,El Capitán - SL Benfica,elcapitanslb,https://www.facebook.com/106273357817888,"Tudo sobre o universo do Sport Lisboa e Benfica! 


",NEWS_SITE,0,2020-07-02 23:30:29,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/252276610_410980377347183_3041015405533244983_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=107&ccb=1-7&_nc_sid=a27e22&_nc_ohc=wod7mu2gg88AX_G-BpL&_nc_ht=scontent-sea1-1.xx&oh=00_AfDI1_2KL9YKB0iDqKIUpizTWpmGtI09PqTTRbLPHXQuaw&oe=65EC11FB,28227,PT,pt
42535,100042422664735,Jornal de Vila Meã,jornalvilamea,https://www.facebook.com/186972334720951,Jornal Regional,NEWS_SITE,0,2011-11-16 09:43:11,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/417439702_1070472091043536_4892836939374047455_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=gplLclwSwgQAX8kfDWY&_nc_ht=scontent-sea1-1.xx&oh=00_AfB7-uW7s6kUXx93t7qPELSQ31KiHvO6_3_1E7Yw08Sm7w&oe=65EA5A85,3918,PT,pt
91636,100042616845680,Jornal Beira Vouga,,https://www.facebook.com/167205723340785,"Quinzenário  Sever do Vouga e Albergaria-a-Velha
 Tel: 234 55 66 25 chamada para a rede fixa nacional",TOPIC_NEWSPAPER,0,2011-05-16 10:00:46,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/301034136_761542481942973_4794043181367084695_n.jpg?stp=c2.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=yKGA0_XnlPgAX9zaMYU&_nc_ht=scontent-sea1-1.xx&oh=00_AfBIxBbQLUuOMVlbFE9-L29y9NPKSDR_GnfpIqibHiwpFw&oe=65EB3BC9,8509,PT,pt
88511,100044332451345,Record,RecordPortugal,https://www.facebook.com/63577141231,"www.record.pt
www.instagram.com/record_portugal
www.twitter.com/Record_Portugal
www.youtube.com/c/RecordPortugal ",TOPIC_NEWSPAPER,1,2009-03-22 17:11:01,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/341862618_256342256815848_1855139564228564977_n.jpg?stp=c7.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=a27e22&_nc_ohc=X23tGCoCrzEAX_mkdcY&_nc_ht=scontent-sea1-1.xx&oh=00_AfDRL-7A2dM8HrdmRsCgPetEgPBf2F0Ab2uq1ZxZQ12VdQ&oe=65EBB2FD,1040665,PT,pt
120675,100044573403195,NiT,newintownpt,https://www.facebook.com/678321125594609,"A NiT é uma revista online de lifestyle, cultura e lazer.",NEWS_SITE,1,2014-07-17 14:21:11,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/347775738_207419135442878_2683339411057673125_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=a27e22&_nc_ohc=I1GmFUkM8IgAX_54f2R&_nc_ht=scontent-sea1-1.xx&oh=00_AfCi5qMi_TmrkEJe-zoxpMnVLomsir_MldPCajpDskF1hA&oe=65EB7131,672919,PT,pt
144064,100045011947844,Mistérios do Mundo,MisteriosDoMundoMDM,https://www.facebook.com/103923893035298,"O seu portal de curiosidades, história e entretenimento.",NEWS_SITE,1,2011-06-09 21:47:39,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/372989061_844684737041917_4927028550016194833_n.png?stp=cp0_dst-png_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=a27e22&_nc_ohc=M2Bx34K-Rj4AX_Rf8oB&_nc_ht=scontent-sea1-1.xx&oh=00_AfA3AzGwZOPcAydr-6UCjnF4ypTR4inw3QsRcw8WKDNKRw&oe=65EC7155,10178737,PT,pt
146749,100045235489256,Jornal Cidade de Tomar,jornalcidadetomar,https://www.facebook.com/352029122511,Semanário Regional de Tomar,MEDIA_NEWS_COMPANY,0,2010-03-09 14:40:34,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/309037422_624068425777668_8073744386131325664_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=a27e22&_nc_ohc=5hWtU9xckdYAX-ny-UH&_nc_ht=scontent-sea1-1.xx&oh=00_AfChPz6K2RPo0c0q-mc2dFk4gZmaZ-ciTRCkgVGozLENGA&oe=65EBFDEA,28892,PT,und
143713,100046384762132,SPORTING News,NewsSporting,https://www.facebook.com/202901216440446,Todas as notícias diárias sobre o Sporting Clube de Portugal.,MEDIA_NEWS_COMPANY,0,2011-08-30 21:48:34,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/310594834_624566109099542_1415349074878648345_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=a27e22&_nc_ohc=t-LKB3uJKfEAX9UfF5v&_nc_ht=scontent-sea1-1.xx&oh=00_AfAx3eMjTMiHe8iB65uzdqk6JFmkOFiw46XVZzyVHkZ4yQ&oe=65EC4049,11412,PT,pt
178461,100046471642242,Pet,petp3,https://www.facebook.com/236415883394271,"Pet, o nosso site de estimação, é um projecto editorial do P3 dedicado aos animais.",NEWS_SITE,0,2016-05-17 10:59:47,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/237125061_323776735848045_1186035228465153643_n.jpg?stp=c8.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=a27e22&_nc_ohc=pK5qQd5FbSsAX8uWRwc&_nc_ht=scontent-sea1-1.xx&oh=00_AfAUfoqh1aflIPnv8S0JUSxFLiBYuL-ap2O9MfTUXJ6vTA&oe=65EC6569,9858,PT,und
123383,100046525309774,Barlavento,jornalbarlavento,https://www.facebook.com/10150105697410150,"Barlavento, diário regional do Algarve online, é um jornal fundado em Portimão a 26 de abril de 1975.",TOPIC_NEWSPAPER,0,2010-03-03 17:50:33,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/347887377_767453901588273_2161943484362920644_n.png?stp=cp0_dst-png_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=a27e22&_nc_ohc=0HC4DkDOjY4AX_f4swB&_nc_ht=scontent-sea1-1.xx&oh=00_AfD47AWj2HOT4Rgk1QNUgRvYW7VGzmI6qaorRZTO7l8LYA&oe=65EAAAB8,41805,PT,pt
48494,100046942010563,Mais Guimarães,maisguimaraes,https://www.facebook.com/125704677616667,"Grupo de Comunicação Social. 
Rigor, independência e pluralidade.",MEDIA_NEWS_COMPANY,0,2013-03-26 07:51:11,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/322017781_682831583522616_5097480252204049471_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=WVrUZ_PSEVkAX_MOIru&_nc_ht=scontent-sea1-1.xx&oh=00_AfCNFAAyZhp55ITFjVWbb9_W_BzfSY_-yj2brWbblcCAWA&oe=65EB1B58,80278,PT,pt
164283,100047550679543,Diferencial - Jornal dos Estudantes do IST,Diferencial,https://www.facebook.com/185060081570736,"Jornal dos estudantes do Instituto Superior Técnico.
",MEDIA_NEWS_COMPANY,0,2011-10-05 15:17:47,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/307872289_604719331123084_928480608332333291_n.png?stp=cp0_dst-png_p50x50&_nc_cat=110&ccb=1-7&_nc_sid=a27e22&_nc_ohc=cFGwjzY6wPUAX94ksVt&_nc_ht=scontent-sea1-1.xx&oh=00_AfCHAWnxncAoDtfx5c7FZkbROdMbWV104S_5YWVbB4QXEw&oe=65EC7BCE,3335,PT,pt
45254,100047550681487,Conferência de Imprensa,conferenciapt,https://www.facebook.com/892366997477947,O melhor do desporto numa só conferência!,MEDIA_NEWS_COMPANY,0,2015-08-05 21:00:21,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/358689466_825300275731654_5882123679833720903_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=soAoaV_hGSgAX96_Jzz&_nc_ht=scontent-sea1-1.xx&oh=00_AfDaqGR3AP5kYzeC_jKvhR9ZClytOfLPsZ1QfpHGDsHWYg&oe=65EA189F,110620,PT,pt
45281,100047749075106,Badaladas,jornalBadaladas,https://www.facebook.com/360242523683,Há 75 anos a informar!,MEDIA_NEWS_COMPANY,0,2010-03-10 17:38:38,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/345611661_460630166262635_8529359173689711268_n.jpg?stp=c0.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=a27e22&_nc_ohc=OBbAhlO7vpEAX_zFBhv&_nc_ht=scontent-sea1-1.xx&oh=00_AfDO6oCSTfiqomcSDB8h2LlzFLZAtUa0_pxG80TCU643Jg&oe=65EB55D2,23120,PT,und
125037,100049127602279,Hoje,hojemedia,https://www.facebook.com/781197975287067,Editamos as notícias de hoje que interessam amanhã.,TOPIC_NEWSPAPER,0,2014-12-07 22:45:46,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/302422309_597642351883346_5889843671775458565_n.png?stp=cp0_dst-png_p50x50&_nc_cat=107&ccb=1-7&_nc_sid=a27e22&_nc_ohc=07NkXjl3JpYAX8QK_cW&_nc_ht=scontent-sea1-1.xx&oh=00_AfAa2Ca-1R27Qti9FYV6-WKGMB6YmHu8vHfnt2byL63BIA&oe=65EAD013,2918,PT,pt
