,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
953,100064029180955,Kurir - Stars,kurirstars,https://www.facebook.com/219492728061060,"Rubrika ""Stars"" - najčitanijih dnevnih novina na Balkanu! www.kurir.rs",MEDIA_NEWS_COMPANY,0,2011-05-02 16:46:39,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/279293898_5370199446323670_4207108168945927739_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rFiKqL9bnLYAX9La-l8&_nc_ht=scontent-sea1-1.xx&oh=00_AfC24OVLMcw8DvvB2otf_8a4pv_qDquBXmU5qccXzFF4bw&oe=65F0B114,87790,RS,hr
1779,100064153142822,Telegraf Najnovije Vesti,telegrafnow,https://www.facebook.com/971907836214147,Telegraf Najnovije Vesti - sve vesti iz zemlje i sveta na jednom mestu,MEDIA_NEWS_COMPANY,0,2015-12-09 16:36:53,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/294378245_424001589748276_4998732434050877561_n.png?stp=cp0_dst-png_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=9n9CtG2nygEAX-WfVH_&_nc_ht=scontent-sea1-1.xx&oh=00_AfCYMkNtghsCPN4o5DkCFaD6kIuyGnrOR0wnHjAhBfb0Hw&oe=65EFCB85,34892,RS,hr
1679,100064181673289,Ekspres Politika,EkspresPolitika,https://www.facebook.com/1145135698917292,Poslednji pravi TABLOID u Srbiji,NEWS_SITE,0,2017-01-15 01:56:33,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/307939691_458491686300217_3897039327070614024_n.png?stp=c20.0.50.50a_cp0_dst-png_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=1IMKm3JbcKUAX_j_zo5&_nc_ht=scontent-sea1-1.xx&oh=00_AfCi-vt1orDp9tVqgHEVeAjiVZoKZbuP0lQTZcYa5zsVfg&oe=65F03A04,27404,RS,hr
599,100064348255895,Dnevna doza pozitivnog,dnevnadozapozitivnog,https://www.facebook.com/623038367879238,News & media website,NEWS_SITE,0,2016-10-08 19:35:04,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/339657753_1284437592482753_3957008008902411229_n.png?stp=cp0_dst-png_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ExVo2HMafVUAX_RlfyC&_nc_ht=scontent-sea1-1.xx&oh=00_AfAwPD8mvWKTGwIsxyF1qaKKFo09uWc0cEr3BfsxQ9vlIQ&oe=65F06C4C,296005,RS,hr
48,100064411342402,Serbia,serbiavesti,https://www.facebook.com/18379878701,This is NOT an official government page.,NEWS_SITE,0,2008-07-02 09:48:14,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/339907019_583450710400711_6056414776740643144_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OBasQFzk7poAX__E2cV&_nc_ht=scontent-sea1-1.xx&oh=00_AfBHN_LpuPRMCWv002wAyQPDKKgaLWxwQd1UueHmLC8rRw&oe=65F018D4,490715,RS,hr
247,100064414672825,Ženski Magazin,zenskimagazin.rs,https://www.facebook.com/452226454895524,Ženski magazin je web portal koji je namenjen damama. Posetite www.zenskimagazin.rs i vidite o cemu se radi.,NEWS_SITE,0,2013-10-11 13:38:53,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/339421342_173113815610127_8878826255095478610_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=vksgYY2SXxIAX_JG04V&_nc_ht=scontent-sea1-1.xx&oh=00_AfBRdG-ZAqr2bIEwZ2yliFWbcbYDvj9i9qpD7cuC0YkJyg&oe=65F0B4CC,183537,RS,hr
95,100064489727922,Sport Klub,sportklub,https://www.facebook.com/148222491864254,"Najbolji regionalni sportski kanal i vebsajt, koji radi 24 časa dnevno. Donosi vam ekskluzivne prenose, video sadržaj, vesti, intervjue i stručne analize.",MEDIA_NEWS_COMPANY,0,2010-08-23 08:57:04,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/345592840_191845733746360_8261279913438508067_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ghhFjRjLkDkAX8JeWJr&_nc_oc=AQm7PYIDK79OXw4TiJuCNnhIHVwkbXPrV7WMjQAnagJTm--Hv7q1DsDudbc0OJkFI4M&_nc_ht=scontent-sea1-1.xx&oh=00_AfByUwalw-nA-qx28fWSsZXs7q5ylwDOqYkAUdppNc-DCQ&oe=65F0AA73,337572,RS,hr
896,100064494138009,Republika Press,republikazabava,https://www.facebook.com/810226098995241,"Republika je portal nezavisne dnevne novine Srpski telegraf. Najnovije informacije na Fejsbuku - tačno, brzo, bez kompromisa - to je naš moto!",MEDIA_NEWS_COMPANY,0,2014-06-20 16:21:11,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/274723072_7441761979174920_3715473749384816365_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=0RN9Utol-RwAX964dyR&_nc_ht=scontent-sea1-1.xx&oh=00_AfAbcc2BB0iayBB-szNB-LsEF8DFTJ83DzGLwY1GZBWp7Q&oe=65F0D62E,201659,RS,hr
551,100064517091279,Večernje novosti,novostionline,https://www.facebook.com/57961360883,Najtiražniji dnevni list u Srbiji,MEDIA_NEWS_COMPANY,1,2009-01-10 18:38:31,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/326257196_969494194156916_2042542500077741275_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=TJEfHrzSnxgAX_jt68G&_nc_ht=scontent-sea1-1.xx&oh=00_AfAwh_tgOn-B_Ae2IbxEgluhBGTifQZW6rn2AR3hfvx_Gw&oe=65EF2361,408785,RS,hr
352,100064541476021,"Ako je nekom stalo,pokazaće ti. Kraj priče.",CuvamTeAndjele9,https://www.facebook.com/155162047829038,"Sustina ljubavi nije voleti savrsenu osobu,vec voleti nesavrsenu osobu savrseno.Prava ljubav nema srecan zavrsetak ona jednostavno nikad ne prestaje! 
",NEWS_SITE,0,2010-08-29 12:37:11,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/325966701_718898966316015_6594863871611240348_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=bWTqHnFYxe8AX88D3_N&_nc_ht=scontent-sea1-1.xx&oh=00_AfAnZ14WhZ7YYA_ASaX7g0C4VcOzdEM-otT0TsyKvzWF1Q&oe=65F0C241,128086,RS,und
